macroarea,T2_count,T2_share_within_group,T4_count,T4_share_within_group,T2_adjusted_Pearson_residual,T4_adjusted_Pearson_residual
Mesoamerica & Central America,39,0.24074074074074073,16,0.10810810810810811,3.0532907848258186,-3.0532907848258186
South & Southeast Asia,35,0.21604938271604937,10,0.06756756756756757,3.706920619302273,-3.706920619302273
Amazonia & Northern South America,22,0.13580246913580246,90,0.6081081081081081,-8.646706867345447,8.646706867345447
Melanesia & Oceania,22,0.13580246913580246,13,0.08783783783783784,1.3328766296598662,-1.3328766296598662
Caucasus & Central Asia,11,0.06790123456790123,0,0.0,3.2278619004037266,-3.2278619004037266
Western North America & Subarctic,10,0.06172839506172839,1,0.006756756756756757,2.613219892341592,-2.613219892341592
Sub-Saharan Africa,9,0.05555555555555555,3,0.02027027027027027,1.6086593587778586,-1.6086593587778584
Australia,5,0.030864197530864196,3,0.02027027027027027,0.5875945156110163,-0.5875945156110162
Southern South America,3,0.018518518518518517,9,0.060810810810810814,-1.9281094442089222,1.928109444208922
Taiwan & Insular Southeast Asia,3,0.018518518518518517,3,0.02027027027027027,-0.11182254064537177,0.11182254064537177
North Africa & Near East,2,0.012345679012345678,0,0.0,1.3561066227839558,-1.3561066227839556
Eastern Europe,1,0.006172839506172839,0,0.0,0.9573592937303849,-0.9573592937303849
