factor,factor_label,mean_share_T2,mean_share_T4,mean_CLR_T2,mean_CLR_T4,CLR_difference_T2_minus_T4,permutation_p_unrestricted,q_BH_unrestricted,p_Holm_unrestricted,permutation_p_macroarea_restricted,q_BH_macroarea_restricted,p_Holm_macroarea_restricted,permutation_p_macroarea_documentation_quartile,q_BH_macroarea_documentation_quartile,p_Holm_macroarea_documentation_quartile,mean_share_difference_T2_minus_T4
1,"persons, bodies & anomalous beings",0.06845463905084742,0.08547096889092552,0.608081127278115,0.6489413331171008,-0.04086020583898575,0.54485,0.6810624999999999,1.0,0.6563,0.820375,1.0,0.51054,0.6985625,1.0,-0.0170163298400781
2,tricksters & antisocial deception,0.015570027093597756,0.012408022858958406,-2.718798116726018,-2.3216991283635373,-0.3970989883624805,0.12549,0.26890714285714284,1.0,0.3599,0.5998333333333333,1.0,0.70248,0.8105538461538462,1.0,0.003162004234639351
3,"Sun, Moon & eclipses",0.15999890105405634,0.06698835149143227,1.2094014701333455,0.32870317359346807,0.8806982965398775,1e-05,5e-05,0.00015000000000000001,1e-05,7.500000000000001e-05,0.00015000000000000001,5e-05,0.000675,0.00075,0.09301054956262407
4,"marriage, spouses & kinship",0.055511960120873935,0.06466061984863851,0.1977428880592377,0.2205934147434509,-0.022850526684213196,0.84161,0.901725,1.0,0.81039,0.868275,1.0,0.80874,0.8665071428571428,1.0,-0.009148659727764574
5,"sky, earth & world structure",0.1579071804324054,0.07988380631770445,1.4156063418489555,0.5881968484136947,0.8274094934352608,1e-05,5e-05,0.00015000000000000001,1e-05,7.500000000000001e-05,0.00015000000000000001,0.00068,0.0034000000000000002,0.00884,0.07802337411470095
6,Milky Way & celestial paths,0.024812068488145336,0.022103244977755596,-1.048972140479601,-0.9732750818509572,-0.07569705862864384,0.63178,0.7289769230769232,1.0,0.57705,0.820375,1.0,0.55885,0.6985625,1.0,0.00270882351038974
7,paired actors & animals,0.05824905840942755,0.06472169059577915,0.347182847087078,0.41750047940733903,-0.07031763232026106,0.47355,0.64575,1.0,0.65546,0.820375,1.0,0.52628,0.6985625,1.0,-0.0064726321863516
8,origins of death,0.02246196097434196,0.016799481943707124,-1.1222869457910778,-1.3059504633192067,0.18366351752812893,0.18584,0.34223333333333333,1.0,0.75893,0.868275,1.0,0.22632,0.3772,1.0,0.0056624790306348365
9,"first people, plants & beings",0.12223847563526681,0.17757062569119994,1.204374291888008,1.4415649089476108,-0.23719061705960276,0.00315,0.0118125,0.0378,0.0005,0.001875,0.006,9e-05,0.000675,0.00126,-0.05533215005593313
10,"trees, rocks & climbing",0.037475208398935776,0.07131331001261915,-0.4569843506138669,0.3684650400496256,-0.8254493906634925,1e-05,5e-05,0.00015000000000000001,2e-05,0.0001,0.00026000000000000003,0.0029,0.0087,0.0319,-0.03383810161368337
11,"Ursa Major, Pleiades & stars",0.025049223839303345,0.019787427847292535,-0.9524652015752033,-1.1423275079473745,0.18986230637217116,0.20534,0.34223333333333333,1.0,0.33486,0.5998333333333333,1.0,0.21674,0.3772,1.0,0.00526179599201081
12,"heroes, monsters & conflict",0.03689414870478045,0.04423628339344985,-0.21638321213886308,-0.20722124903549077,-0.009161963103372306,0.93647,0.93647,1.0,0.93879,0.9387899999999999,1.0,0.96834,0.96834,1.0,-0.0073421346886693994
13,"water, fish & aquatic beings",0.08536757906549347,0.1153111529153205,0.744448102430187,0.9433084578751741,-0.19886035544498715,0.03039,0.075975,0.3039,0.05067,0.126675,0.5067,0.00807,0.020175000000000002,0.08070000000000001,-0.02994357384982703
14,"women, birth & children",0.07489443717458308,0.10694922583927437,0.5665786204193431,0.8835155127838992,-0.316936892364556,0.00526,0.01578,0.05786,0.03576,0.10728,0.39336,0.00147,0.0055125,0.01764,-0.03205478866469129
15,animals & transformation,0.055115131557940934,0.05179578737594186,0.2224742781803621,0.10968426158520216,0.11279001659515996,0.23735,0.356025,1.0,0.26363,0.5649214285714285,1.0,0.15696,0.33634285714285717,1.0,0.0033193441819990774
