motif_index_0based,motif_id,motif_title,motif_gloss,description_present,tradition_frequency,tradition_prevalence
0,a1_1,The old sun,"Another sun, usually less benevolent and/or powerful, existed before the present one",True,44,0.047516198704103674
1,a2a_1,Several suns burn the earth,"The world was (almost) burned when several suns had (will) appear(ed) simultaneously. (Texts with ""Moon was equal to Sun"" without ""the burned earth"" motif not mentioned)",True,75,0.08099352051835854
2,a2b_1,Extra suns and moons annihilated,Other suns or moons besides present ones had been in the sky and were later annihilated,True,65,0.07019438444924406
3,a2b1_1,The last sun,"Two or more suns shine in the sky. When the extra suns had been annihilated, there was a risk of the last one being destroyed too",True,19,0.020518358531317494
4,a2c_1,Extra suns are children of the present one,Extra suns who almost burned or could burn the world are children of the present one,True,19,0.020518358531317494
5,a2d_1,Suns of the other worlds,Different suns illuminate different worlds or will appear successively in the future,True,14,0.01511879049676026
6,a3_1,Male sun and female moon,"The Moon is female or bisexual, the Sun is male",True,325,0.3509719222462203
7,a4_1,Female sun,"The Sun is female, the Moon is male or (much more rare) also female",True,209,0.22570194384449244
8,a4a_1,The Sun dazzles eyes,"Modest Sun-woman dazzles (usually pricks with needles, i.e. the sun rays) eyes of those who look at her",True,11,0.011879049676025918
9,a4b_1,The Sun is afraid of the night,"Being afraid of the night, the Sun decided to travel across the sky only at the day time",True,5,0.005399568034557235
10,a5_1,The Sun and the Moon are males,"The Moon is male, the Sun is also male or (much more rare) asexual",True,302,0.326133909287257
11,a5a_1,The Sun created from the Moon’s swaddling clothes,The younger brother (usually the Sun) is created from urine and swaddling clothes of the elder brother (usually the Moon).,True,8,0.008639308855291577
12,a6_1,The Sun and the Moon are females,Both the Sun and the Moon are considered to be females (incl. cases when the gender is not directly specified but both emerge from parts of the body of a female person),True,48,0.05183585313174946
13,a7_1,The sun pursues the moon,The Sun and the Moon are persons of different sex. The man pursues the woman or vice versa. Details of pursuit usually explain why the luminaries are not equally bright and/or why there are stains on the lunar disc,True,36,0.038876889848812095
14,a8_1,"The Sun, the Moon and the Star are three siblings","The Sun, the Moon and the star (stars) are three sisters or three brothers",True,3,0.0032397408207343412
15,a8a_1,a8a_1,,False,6,0.0064794816414686825
