tradition,latitude,longitude,world_region,binary_community,topic_community,language_family,n_motifs,annual_mean_temp_C,annual_precip_mm,is_T2,is_T4,B1_split
Bushmen,-26.0,20.0,Sub-Saharan Africa,B1,T5,,54,19.8,197,other,other,other
Khoikhoi,-32.0,21.0,Sub-Saharan Africa,B2,T5,,61,14.2,209,other,other,other
Xhosa,-32.5,26.5,Sub-Saharan Africa,B2,T5,Atlantic-Congo,56,15.9,588,other,other,other
"Zulu,Swasi",-28.5,30.5,Sub-Saharan Africa,B2,T1,Atlantic-Congo,46,17.9,759,other,other,other
"Sotho, Tswana",-27.5,26.5,Sub-Saharan Africa,B2,T5,Atlantic-Congo,58,17.5,580,other,other,other
"Tonga, Ndebele",-23.0,32.0,Sub-Saharan Africa,B2,T5,Atlantic-Congo,66,23.6,409,other,other,other
Shona,-18.0,31.0,Sub-Saharan Africa,B2,T5,Atlantic-Congo,73,18.5,776,other,other,other
"Bemba,Kaonde,Lamba",-11.5,28.0,Sub-Saharan Africa,B2,T5,Atlantic-Congo,81,20.7,1129,other,other,other
"Tsonga,Soli,Sala,Lenje",-17.0,28.0,Sub-Saharan Africa,B2,T5,,30,24.4,709,other,other,other
Ila,-15.5,27.0,Sub-Saharan Africa,B2,T5,Atlantic-Congo,38,21.2,833,other,other,other
Malawi,-15.0,34.0,Sub-Saharan Africa,B2,T5,,50,22.2,945,other,other,other
Nyungwe,-16.7,33.0,Sub-Saharan Africa,B2,T5,,10,24.6,617,other,other,other
"Yao, Macua",-12.5,37.5,Sub-Saharan Africa,B2,T5,Atlantic-Congo,25,25.7,1171,other,other,other
Herrero,-21.5,18.0,Sub-Saharan Africa,B2,T4,Atlantic-Congo,15,18.8,427,other,T4,other
"Lozi,Rotse,Lui,Subia",-15.0,22.5,Sub-Saharan Africa,B2,T5,Atlantic-Congo,23,21.8,951,other,other,other
"Mbundu, Owambo",-13.5,17.5,Sub-Saharan Africa,B2,T3,Atlantic-Congo,66,19.6,1095,other,other,other
"Chokwe,Luchazi",-12.0,22.0,Sub-Saharan Africa,B2,T1,Atlantic-Congo,24,20.9,1212,other,other,other
Lunda,-10.0,23.0,Sub-Saharan Africa,B1,T2,Atlantic-Congo,14,22.7,1329,T2,other,B1→T2
Kongo,-6.5,14.0,Sub-Saharan Africa,B2,T1,Atlantic-Congo,108,23.6,1092,other,other,other
Sakata,-3.4,18.0,Sub-Saharan Africa,B2,T1,Atlantic-Congo,61,25.5,1530,other,other,other
"Kuba,Dengese",-4.0,21.5,Sub-Saharan Africa,B1,T2,Atlantic-Congo,16,24.9,1683,T2,other,B1→T2
Lingala,2.0,19.0,Sub-Saharan Africa,B2,T2,Atlantic-Congo,29,25.0,1700,T2,other,other
Soko,1.0,24.0,Sub-Saharan Africa,B2,T2,Atlantic-Congo,5,25.2,1804,T2,other,other
"Kete,Luba-Kasai,Kaniok",-7.0,22.5,Sub-Saharan Africa,B2,T5,Atlantic-Congo,47,23.4,1565,other,other,other
"Luba,Bena,Tabwa",-7.0,26.0,Sub-Saharan Africa,B2,T5,Atlantic-Congo,76,22.7,1210,other,other,other
"Lega, Bangubangu",-3.0,27.0,Sub-Saharan Africa,B2,T4,Atlantic-Congo,6,24.0,1820,other,T4,other
Songe,-5.5,25.5,Sub-Saharan Africa,B1,T5,Atlantic-Congo,26,24.3,1295,other,other,other
Yaka,-7.0,17.0,Sub-Saharan Africa,B2,T5,Atlantic-Congo,15,23.5,1424,other,other,other
"Boa,Komo,Nyanga",0.0,27.0,Sub-Saharan Africa,B2,T1,Atlantic-Congo,19,23.0,1786,other,other,other
"Mongo,Tetela,Kuba,Nkundu",-2.0,22.0,Sub-Saharan Africa,B2,T5,Atlantic-Congo,41,24.3,1963,other,other,other
"Rwanda,Shi,Rundi",-3.0,29.0,Sub-Saharan Africa,B2,T5,Atlantic-Congo,46,21.8,1229,other,other,other
"Ganda,Nyoro",0.0,31.5,Sub-Saharan Africa,B2,T5,Atlantic-Congo,49,21.4,957,other,other,other
"Niamwesi,Sumbwa",-5.0,33.0,Sub-Saharan Africa,B2,T5,Atlantic-Congo,31,23.1,913,other,other,other
"Nyaturu,Isanzu,Nilamba",-5.0,34.8,Sub-Saharan Africa,B2,T1,Atlantic-Congo,52,20.3,641,other,other,other
"Sukuma,Gusii,Kumbi",-3.0,33.0,Sub-Saharan Africa,B2,T5,Atlantic-Congo,60,23.1,869,other,other,other
"Fipa,Bende,Iramba",-7.0,31.0,Sub-Saharan Africa,B2,T4,Atlantic-Congo,12,24.8,925,other,T4,other
Kamba,-2.0,39.0,Sub-Saharan Africa,B2,T5,Atlantic-Congo,46,26.3,658,other,other,other
Kikuyu,-1.0,37.0,Sub-Saharan Africa,B2,T5,Atlantic-Congo,51,20.1,838,other,other,other
"Chagga, Digo",-4.0,38.0,Sub-Saharan Africa,B2,T5,Atlantic-Congo,56,22.6,690,other,other,other
"Gogo,Zaramo,Kaguru",-7.0,38.0,Sub-Saharan Africa,B2,T3,Atlantic-Congo,84,26.5,1335,other,other,other
"Ngonde,Safwa.Mkulwe,Kinga",-9.0,33.0,Sub-Saharan Africa,B2,T5,Atlantic-Congo,51,18.8,1234,other,other,other
"Konde,Matumbi,Pangwe",-9.0,37.0,Sub-Saharan Africa,B2,T5,Atlantic-Congo,29,24.2,1289,other,other,other
